,Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
99,Indonesia,IDN,3001.912768,3260.806861,3492.262885,3745.182789,4048.527165,4404.661347,4764.205674,5000.951712,4331.496757,4367.431885,4620.547598,4827.438785,5055.355834,5323.104507,5664.893913,6091.922453,6534.07551,7041.486994,7510.100118,7813.090106,8284.501294,8859.139998,9444.948401,10009.66548,10570.19504,11063.06221,11604.52525,12279.18328,13079.6193,
102,India,IND,1236.671208,1265.917481,1338.664595,1407.473802,1503.745417,1620.175387,1741.084404,1808.708364,1906.7799,2067.740994,2156.689919,2270.718563,2354.2651,2544.112251,2774.420858,3039.128698,3331.592127,3628.001338,3757.289184,4026.380833,4360.15405,4624.561404,4909.584076,5252.272397,5682.731285,6133.887015,6634.844574,7168.992484,7762.88177,
104,Ireland,IRL,13738.26598,14393.94598,15110.71462,15806.03556,17005.58515,18937.55551,20479.16734,22625.57673,25059.45945,26995.26129,30177.82788,32546.09148,35212.09472,36237.77128,38669.20414,40437.77458,44204.9969,46759.71484,44283.73011,41621.71832,43295.01791,44855.3247,46256.56888,47897.29166,51067.97671,69056.04604,70522.22592,77596.35505,83203.39468,
106,Iraq,IRQ,7498.159832,2713.696494,3577.504745,4632.516812,4766.883126,4819.553143,5282.533208,6315.379861,8349.808791,9659.249609,9717.658254,9861.520265,9055.551154,5999.130991,9255.53032,9738.639139,10840.81758,11098.13138,12040.24597,12287.72965,12884.90384,13693.97637,15320.88647,16133.56524,15950.19629,15981.31509,18085.87647,17519.05422,17435.85393,
107,Iceland,ISL,21984.38665,22415.69892,21876.37537,22459.29709,23561.59166,23953.39102,24784.37838,26910.43627,28688.22922,29523.19154,29710.55155,31775.15843,32524.02325,32619.35874,35608.06946,37233.19629,39093.95196,41160.23651,43318.35275,41905.36603,39576.97124,40767.23641,41926.34194,44157.55246,45714.89381,48728.09936,52582.29385,55322.09013,57303.06078,
108,Israel,ISR,15171.30224,15909.49313,16939.09649,17580.71256,18796.82975,19919.46754,20755.23334,21415.61805,22052.41543,22584.93854,24931.03887,24918.00428,25224.87874,23821.5451,25224.36448,24831.44992,25678.71429,27487.84462,27433.06349,27501.29414,28861.93991,30539.96337,31693.91787,34145.7126,34212.94449,35436.81087,37463.19908,38866.1107,39919.16965,
109,Italy,ITA,18608.78827,19520.55791,20118.29565,20406.8418,21286.60236,22359.98275,23029.50003,23873.34492,25020.65862,25602.38947,27076.1868,28045.44843,28736.57711,29164.59527,29527.79094,30130.64446,32419.93615,34108.20429,35523.27131,34610.03145,35155.66806,36598.01497,36486.29679,36314.6971,36194.87392,36909.32837,39178.4,41200.02872,41830.42633,
110,Jamaica,JAM,4738.035258,5094.354174,5265.469088,5841.966046,5990.279625,6198.663359,6243.561341,6217.364831,6081.819331,6177.902467,6318.642619,6495.147003,6684.32279,7014.854567,7257.340316,7508.988192,7918.879434,8206.866186,8257.870394,7920.231105,7853.974864,8112.12923,8170.129002,8306.755236,8473.743427,8595.88659,8763.300248,8974.33982,9326.664059,
111,Jordan,JOR,4128.381269,4120.939357,4728.468626,4794.784592,4897.953131,5103.478549,5143.970206,5276.781173,5389.845599,5555.438647,5815.873532,6142.842663,6476.612526,6724.043386,7300.219009,7879.095022,8443.677235,8983.913039,9369.884496,9471.843568,9306.488797,9235.879132,9151.732473,9093.010015,9123.978709,9089.006864,9092.954278,9241.513754,9478.904588,
112,Japan,JPN,19561.20174,20849.01768,21451.67413,21792.33548,22402.26643,23409.64029,24515.11628,25146.20043,25074.05769,25325.70726,26838.69136,27472.54712,28160.10761,28924.68216,30348.04197,31663.4531,33090.19626,34501.50901,34798.7659,33198.61611,34986.99454,35774.69671,37191.38595,38974.07949,39179.15561,40396.24321,41118.07804,41958.96216,42797.45852,
113,Kazakhstan,KAZ,8468.793605,7743.565658,7505.476087,7022.865021,6360.671033,6066.914068,6303.644137,6625.206765,6686.911048,7033.284878,7918.947004,9200.784457,10261.83496,11386.11323,12726.39944,14268.33754,16101.83296,17801.14353,18519.2511,18392.88499,19685.35171,21276.93402,22407.98331,23823.88613,24924.37021,25123.31799,25314.86554,26490.84377,27879.75195,
114,Kenya,KEN,1523.7385,1545.981858,1518.752665,1511.865463,1536.919553,1590.038219,1637.861643,1626.998436,1652.544939,1668.271251,1669.318817,1722.772066,1712.506831,1747.464545,1835.481863,1950.28767,2081.164298,2221.122812,2207.642032,2235.680111,2385.992645,2515.927471,2610.737996,2740.02864,2867.10191,2988.073282,3121.830489,3258.154499,3467.556478,
116,Cambodia,KHM,,,,1150.285942,740.1297815,804.1239173,841.3389302,865.2669966,892.1317992,995.4598384,1101.815794,1185.433252,1259.813705,1368.700893,1525.928724,1754.171137,1971.563042,2198.292175,2355.903624,2340.558567,2470.704155,2658.062552,2860.146734,3073.318143,3300.61675,3513.82356,3742.958793,4019.679985,4360.854404,
